0,0,0,4,4,1
0,1,0,4,1,1
0,2,0,4,1,1
0,3,0,4,1,1
0,4,0,4,1,1
0,5,0,4,1,1
0,6,0,4,1,1
0,7,0,4,1,1
0,8,0,4,1,1
0,9,0,4,1,1
0,10,0,4,1,1
0,11,0,4,1,1
0,12,0,4,1,1
0,13,0,4,1,1
1,0,0,3,4,3
1,1,0,1,3,3
1,2,1,1,3,3
1,3,0,1,3,3
1,4,1,1,3,3
1,5,0,1,3,3
1,6,1,1,3,3
1,7,0,1,3,3
1,8,1,1,3,3
1,9,1,1,3,3
1,10,0,1,3,3
1,11,1,1,3,3
1,12,0,1,3,3
1,13,0,1,3,3
2,0,0,3,4,3
2,1,0,3,3,3
2,2,1,3,3,3
2,3,0,3,3,3
2,4,1,3,3,3
2,5,0,3,3,3
2,6,1,3,3,3
2,7,0,3,3,3
2,8,1,3,3,3
2,9,1,3,3,3
2,10,0,3,3,3
2,11,1,3,3,3
2,12,0,3,3,3
2,13,0,3,3,3
3,0,0,3,4,3
3,1,0,3,3,3
3,2,1,3,3,3
3,3,0,3,3,3
3,4,1,3,3,3
3,5,0,3,3,3
3,6,1,3,3,3
3,7,0,3,3,3
3,8,1,3,3,3
3,9,1,3,3,3
3,10,0,3,3,3
3,11,1,3,3,3
3,12,0,3,3,3
3,13,0,3,3,3
4,0,0,3,4,3
4,1,0,3,3,3
4,2,1,3,3,3
4,3,0,3,3,3
4,4,1,3,3,3
4,5,0,3,3,3
4,6,1,3,3,3
4,7,0,3,3,3
4,8,1,3,3,3
4,9,1,3,3,3
4,10,0,3,3,3
4,11,1,3,3,3
4,12,0,3,3,3
4,13,0,3,3,3
5,0,0,3,4,3
5,1,0,3,3,3
5,2,1,3,3,3
5,3,0,3,3,3
5,4,1,3,3,3
5,5,0,3,3,3
5,6,1,3,3,3
5,7,0,3,3,3
5,8,1,3,3,3
5,9,1,3,3,3
5,10,0,3,3,3
5,11,1,3,3,3
5,12,0,3,3,3
5,13,0,3,3,3
6,0,0,3,4,3
6,1,0,3,3,3
6,2,1,3,3,3
6,3,0,3,3,3
6,4,1,3,3,3
6,5,0,3,3,3
6,6,1,3,3,3
6,7,0,3,3,3
6,8,1,3,3,3
6,9,1,3,3,3
6,10,3,3,3,3
6,11,3,3,3,3
6,12,0,3,3,3
6,13,0,3,3,3
7,0,0,3,4,3
7,1,0,3,3,3
7,2,1,3,3,3
7,3,0,3,3,3
7,4,1,3,3,3
7,5,0,3,3,3
7,6,1,3,3,3
7,7,0,3,3,3
7,8,1,3,3,3
7,9,1,3,3,3
7,10,3,3,3,3
7,11,3,3,3,3
7,12,0,3,3,3
7,13,0,3,3,3
8,0,0,3,4,3
8,1,0,3,3,3
8,2,1,3,3,3
8,3,0,3,3,3
8,4,1,3,3,3
8,5,0,3,3,3
8,6,1,3,3,3
8,7,0,3,3,3
8,8,1,3,3,3
8,9,1,3,3,3
8,10,3,3,3,3
8,11,3,3,3,3
8,12,0,3,3,3
8,13,0,3,3,3
9,0,0,3,4,3
9,1,0,3,3,3
9,2,1,3,3,3
9,3,0,3,3,3
9,4,1,3,3,3
9,5,0,3,3,3
9,6,1,3,3,3
9,7,0,3,3,3
9,8,1,3,3,3
9,9,1,3,3,3
9,10,0,3,3,3
9,11,3,3,3,3
9,12,0,3,3,3
9,13,0,3,3,3
10,0,0,3,4,3
10,1,0,3,3,3
10,2,1,3,3,3
10,3,0,3,3,3
10,4,1,3,3,3
10,5,0,3,3,3
10,6,1,3,3,3
