"DateTime","Polygon 1"
"2014-09-08",2.4864
"2014-09-09",5.3037
"2014-09-10",3.3256
"2014-09-11",0.541
"2014-09-12",7.3162
"2014-09-13",4.4743
"2014-09-14",0.666
"2014-09-15",3.9985
"2014-09-16",6.7261
"2014-09-17",2.1227
"2014-09-18",3.3879
"2014-09-19",9.3558
"2014-09-20",2.3873
"2014-09-21",6.629
"2014-09-22",4.4221
"2014-09-23",9.247
"2014-09-24",2.1769
"2014-09-25",2.0666
"2014-09-26",8.1987
"2014-09-27",4.9391
"2014-09-28",2.101
"2014-09-29",8.0535
"2014-09-30",6.7218
"2014-10-01",4.7581
"2014-10-02",2.765
"2014-10-03",0.4353
"2014-10-04",4.5152
"2014-10-05",5.0275
"2014-10-06",0.4263
"2014-10-07",2.077
"2014-10-08",6.0464
"2014-10-09",2.0028
"2014-10-10",0.8355
"2014-10-11",1.3295
"2014-10-12",4.6297
"2014-10-13",4.1457
"2014-10-14",4.5036
"2014-10-15",8.4872
"2014-10-16",2.3026
"2014-10-17",2.7075
"2014-10-18",0.7997
"2014-10-19",5.0001
"2014-10-20",6.3729
"2014-10-21",4.8541
"2014-10-22",0.6773
"2014-10-23",1.1747
"2014-10-24",1.2448
"2014-10-25",2.378
"2014-10-26",3.2701
"2014-10-27",2.1929
"2014-10-28",3.0013
"2014-10-29",0.4533
"2014-10-30",1.829
"2014-10-31",0.4054
"2014-11-01",1.0427
"2014-11-02",0.3307
"2014-11-03",0.0909
"2014-11-04",0.1848
"2014-11-05",0.6702
"2014-11-06",0.4702
"2014-11-07",0.6114
"2014-11-08",0.4774
"2014-11-09",0.1266
"2014-11-10",0
"2014-11-11",0.0611
"2014-11-12",0.4353
"2014-11-13",0.0513
"2014-11-14",2.1443
"2014-11-15",0.9127
"2014-11-16",0.2616
"2014-11-17",0.3458
"2014-11-18",0.065
"2014-11-19",0.1595
"2014-11-20",0.849
"2014-11-21",1.3009
"2014-11-22",0.4059
"2014-11-23",2.4943
"2014-11-24",0.0208
"2014-11-25",0.1842
"2014-11-26",0.6179
"2014-11-27",0.0131
"2014-11-28",0.4094
"2014-11-29",0.0595
"2014-11-30",0.3662
"2014-12-01",0.2
"2014-12-02",0.1153
"2014-12-03",0.08
"2014-12-04",0
"2014-12-05",0
"2014-12-06",0
"2014-12-07",0.0334
"2014-12-08",0.0088
"2014-12-09",0.3135
"2014-12-10",0.0004
"2014-12-11",0.095
"2014-12-12",0.0002
"2014-12-13",0.0288
"2014-12-14",0
"2014-12-15",0
"2014-12-16",0
"2014-12-17",0.0303
"2014-12-18",0.0029
"2014-12-19",0
"2014-12-20",0
"2014-12-21",0
"2014-12-22",0.0012
"2014-12-23",0
"2014-12-24",0
"2014-12-25",0.0674
"2014-12-26",0.2553
"2014-12-27",0.0022
"2014-12-28",0
"2014-12-29",0
"2014-12-30",0
"2014-12-31",0.0054
"2015-01-01",0.0764
"2015-01-02",0
"2015-01-03",0.0149
"2015-01-04",0.0679
"2015-01-05",0
"2015-01-06",0.0004
"2015-01-07",0.0265
"2015-01-08",0.0038
"2015-01-09",0
"2015-01-10",0.0006
"2015-01-11",0.0001
"2015-01-12",0.0035
"2015-01-13",0.0036
"2015-01-14",0.0042
"2015-01-15",0.0335
"2015-01-16",0.0561
"2015-01-17",0
"2015-01-18",0
"2015-01-19",0
"2015-01-20",0.0003
"2015-01-21",0.0008
"2015-01-22",0.0004
"2015-01-23",0.0007
"2015-01-24",0.042
"2015-01-25",0.1043
"2015-01-26",0.1303
