"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2014","9","8","8","8","8","7","7","7","7","7","7","7"
"2015","8","7","8","7","11","14","11","12","15","14","20","17"
"2016","21","25","25","22","22","42","42","54","80","71","76","107"
"2017","120","161","161","144","143","98","152","201","273","239","242","255"
"4-Year Average","39","41","44","44","42","32","42","56","66","78","82","81"
"% Preceeding Month","112%","134%","100%","89%","99%","69%","155%","132%","136%","88%","101%","105%"
"% of Same Month Previous Year","571%","644%","644%","655%","650%","233%","362%","372%","341%","337%","318%","238%"
"% of 4-Year Average","308%","393%","366%","327%","340%","306%","362%","359%","414%","306%","295%","315%"
"% of Previous 6 Months","222%","201%","227%","189%","134%","82%","94%","125%","190%","167%","247%","168%"
