Year,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,250,"1,100","1,215","1,050","1,185","1,210","2,410","2,098","1,760","1,460","2,740","3,605"
2015,454,"2,225","3,114","2,355","2,211","2,078",625,"1,325","1,945","1,435","1,535","1,416"
2016,"2,140","2,240","2,600","1,968","4,496","1,397","2,609","2,470","3,948","2,689","1,848","1,760"
2017,670,"1,183","1,289","1,850",,,,,,,,
