Year,Jan ,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,270,"1,056","1,170",988,955,"1,275","2,224","1,425",880,"1,400","2,020","1,565"
2015,360,"4,400","1,883","1,604","1,232","1,311",607,"1,332","1,182","1,120","1,175","1,060"
2016,"1,415","1,723","2,020","1,816","2,551","4,587",815,"1,958","12,335","2,383","3,535","1,725"
2017,958,"1,807","1,204","1,945",,,,,,,,
