"Category","monthly rainfall data "
"Jan",0
"Feb",0
"Mar",13.25
"Apr",171.13
"May",206.33
"Jun",246.3
"Jul",262.87
"Aug",152.33
"Sep",149.01
"Oct",0
"Nov",0
"Dec",0
